"id","technology_id","city_id","start_experience_range","end_experience_range","candidate_id","is_main_tech","state_initials"
b0bd826e-df57-4ebc-bba2-0e2e647f545a,"309aa1d1-9a4f-4ac7-b2fe-977a45c3b759",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",true,RJ
"846655e6-e866-4338-ad1c-ba6b3c5f0339",b2d2b12c-9759-4077-a9aa-d0156ed68ba4,a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
c68a65f9-f7ea-4bd1-a13f-b9976022f441,"65477459-0373-42a6-9f8e-89715660e120",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
b5d67641-1f17-4c23-8fcc-54f549363a58,db091d5d-a65d-44f9-8182-304ae6f72a25,a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
"3eb7f7ee-170e-431e-b87c-08b7a39318d6","777743a7-aaed-4365-872d-ef3746a35043",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
d62c12dc-2037-4f59-b80a-659d0e6e51a4,"79362b81-69dd-48d9-a3c4-87561a84fe19",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
e03b0b86-9122-419d-a3e6-5ea956503bcb,"630dab2d-8e50-4863-9586-c86b18c796c7",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
"82b3e103-8614-469c-9437-37209fd5d8e5","14eb6393-5a3f-43b7-8e6b-08d1abe69524",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
e5c35de1-8aaa-41d5-abe8-d94318552eb9,c48415f7-4a86-4b0e-8b10-13a68b01475c,a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
"22674424-c6cc-429a-ad6a-8eac05ec7d39","565c1332-859e-4de4-871b-536f092e432f",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
b854ef16-7a1b-464e-a727-2b235610252d,"3df946cd-f5c4-4717-91a2-dbc0432735f7",a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
"876c913a-7e01-4883-860a-3df0af8259fa",c1d1150f-2418-458c-ac88-6c8e1c069676,a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
caa43019-a006-4097-85a0-220bb819dc54,ee86754d-fe6e-4146-bd6b-f09abe80d12c,a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",true,RJ
"7e1a3f91-383b-4496-a693-30b58809f085",fd26a0b9-d214-4fa5-a9e2-caf2f932d734,a4693726-8e5a-43b8-81eb-028c7fa249ac,12,0,"532252df-92dd-47ab-95ea-3a725071fdaa",false,RJ
"0811268e-3e2e-4e7d-9588-0a63eda65d46","13fa716d-3467-4889-bef9-55b7a224225b","9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",true,PE
"8da09707-b549-477d-8055-d0dc637a0aac",ee86754d-fe6e-4146-bd6b-f09abe80d12c,"9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",false,PE
e7aa9257-2ccc-49c8-83a7-0701c74dad32,"0995a25a-0742-4631-9169-76097beb307e","9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",true,PE
a984881d-e30d-4c8e-a772-6b47742ac51a,c4379e3f-4898-4ce1-88c8-5f5cd9f64419,"9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",false,PE
d8b98d28-032c-4eaf-941a-1a7682342fc5,e90bc524-e19c-4fd6-b01a-0acfb53b31ce,"9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",false,PE
"425a8934-3199-43e7-b78b-5745cdf4f20f","309aa1d1-9a4f-4ac7-b2fe-977a45c3b759","9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",false,PE
"2c4829ef-0029-4ea8-ab98-83f8493321b3",f3b3e37c-db8c-44cf-9abb-78531df44c8a,"9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",false,PE
dfbc7bbe-20e4-4553-8bfe-bbd9812ad339,"5708555a-7f92-4614-923b-d8914cadc44e","9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",false,PE
c861ac70-4a5c-4c2c-a3f7-6d3b563fcc58,"8b21bbf1-b3a2-40f9-85d8-f7692729c429","9180c104-1ba5-4134-9798-69c5f4fc0dbe",4,5,"6a9449aa-3fab-49e5-9a1c-61cf55e9e563",false,PE
"16e4cd35-7f00-4d2f-8ce4-a6a580cc4c87","1be7f06f-2430-49cb-a977-1f01bdfa5ebc","4b829aa5-6115-4cdb-9587-0e4f1668d906",5,6,e92ea627-9b3c-46c2-9046-568e05ad7a53,true,PR
"0c88b349-68a5-44ef-990f-36de401d9ea3","4ff60f0a-089b-459e-85ba-679bad531769","4b829aa5-6115-4cdb-9587-0e4f1668d906",5,6,e92ea627-9b3c-46c2-9046-568e05ad7a53,false,PR
"0a943ee7-58bd-4626-ad68-adf3a9d4ca0a","586df3be-f191-431a-8b98-00cc9dc4266d","4b829aa5-6115-4cdb-9587-0e4f1668d906",5,6,e92ea627-9b3c-46c2-9046-568e05ad7a53,false,PR
"8667a7a9-cf38-4ff4-b757-a5b3f6b9a9c7","571ebf36-b0c5-4215-b209-f2cbece92720","4b829aa5-6115-4cdb-9587-0e4f1668d906",5,6,e92ea627-9b3c-46c2-9046-568e05ad7a53,false,PR
"8e455a11-48b0-4a8a-97ff-3b74d9224273","56850884-1231-4ecc-9cad-487ce1886d08","4b829aa5-6115-4cdb-9587-0e4f1668d906",5,6,e92ea627-9b3c-46c2-9046-568e05ad7a53,false,PR
"6402a31b-8549-4ff2-b5fc-ca66f8e3feb7","868fd264-c23f-4670-9271-db840f7d3018","4b829aa5-6115-4cdb-9587-0e4f1668d906",5,6,e92ea627-9b3c-46c2-9046-568e05ad7a53,false,PR
